number |     name     |   hex   |      rgb       |      hsl       
0   |Black            |#000000  |(0,0,0)         |(0,0,0)
1   |Maroon           |#800000  |(128,0,0)       |(0,100,25)
2   |Green            |#008000  |(0,128,0)       |(120,100,25)
3   |Olive            |#808000  |(128,128,0)     |(60,100,25)
4   |Navy             |#000080  |(0,0,128)       |(240,100,25)
5   |Purple           |#800080  |(128,0,128)     |(300,100,25)
6   |Teal             |#008080  |(0,128,128)     |(180,100,25)
7   |Silver           |#c0c0c0  |(192,192,192)   |(0,0,75)
8   |Grey             |#808080  |(128,128,128)   |(0,0,50)
9   |Red              |#ff0000  |(255,0,0)       |(0,100,50)
10  |Lime             |#00ff00  |(0,255,0)       |(120,100,50)
11  |Yellow           |#ffff00  |(255,255,0)     |(60,100,50)
12  |Blue             |#0000ff  |(0,0,255)       |(240,100,50)
13  |Fuchsia          |#ff00ff  |(255,0,255)     |(300,100,50)
14  |Aqua             |#00ffff  |(0,255,255)     |(180,100,50)
15  |White            |#ffffff  |(255,255,255)   |(0,0,100)
16  |Grey0            |#000000  |(0,0,0)         |(0,0,0)
17  |NavyBlue         |#00005f  |(0,0,95)        |(240,100,18)
18  |DarkBlue         |#000087  |(0,0,135)       |(240,100,26)
19  |Blue3            |#0000af  |(0,0,175)       |(240,100,34)
20  |Blue3            |#0000d7  |(0,0,215)       |(240,100,42)
21  |Blue1            |#0000ff  |(0,0,255)       |(240,100,50)
22  |DarkGreen        |#005f00  |(0,95,0)        |(120,100,18)
23  |DeepSkyBlue4     |#005f5f  |(0,95,95)       |(180,100,18)
24  |DeepSkyBlue4     |#005f87  |(0,95,135)      |(97,100,26)
25  |DeepSkyBlue4     |#005faf  |(0,95,175)      |(7,100,34)
26  |DodgerBlue3      |#005fd7  |(0,95,215)      |(13,100,42)
27  |DodgerBlue2      |#005fff  |(0,95,255)      |(17,100,50)
28  |Green4           |#008700  |(0,135,0)       |(120,100,26)
29  |SpringGreen4     |#00875f  |(0,135,95)      |(62,100,26)
30  |Turquoise4       |#008787  |(0,135,135)     |(180,100,26)
31  |DeepSkyBlue3     |#0087af  |(0,135,175)     |(93,100,34)
32  |DeepSkyBlue3     |#0087d7  |(0,135,215)     |(2,100,42)
33  |DodgerBlue1      |#0087ff  |(0,135,255)     |(8,100,50)
34  |Green3           |#00af00  |(0,175,0)       |(120,100,34)
35  |SpringGreen3     |#00af5f  |(0,175,95)      |(52,100,34)
36  |DarkCyan         |#00af87  |(0,175,135)     |(66,100,34)
37  |LightSeaGreen    |#00afaf  |(0,175,175)     |(180,100,34)
38  |DeepSkyBlue2     |#00afd7  |(0,175,215)     |(91,100,42)
39  |DeepSkyBlue1     |#00afff  |(0,175,255)     |(98,100,50)
40  |Green3           |#00d700  |(0,215,0)       |(120,100,42)
41  |SpringGreen3     |#00d75f  |(0,215,95)      |(46,100,42)
42  |SpringGreen2     |#00d787  |(0,215,135)     |(57,100,42)
43  |Cyan3            |#00d7af  |(0,215,175)     |(68,100,42)
44  |DarkTurquoise    |#00d7d7  |(0,215,215)     |(180,100,42)
45  |Turquoise2       |#00d7ff  |(0,215,255)     |(89,100,50)
46  |Green1           |#00ff00  |(0,255,0)       |(120,100,50)
47  |SpringGreen2     |#00ff5f  |(0,255,95)      |(42,100,50)
48  |SpringGreen1     |#00ff87  |(0,255,135)     |(51,100,50)
49  |MediumSpringGreen|#00ffaf  |(0,255,175)     |(61,100,50)
50  |Cyan2            |#00ffd7  |(0,255,215)     |(70,100,50)
51  |Cyan1            |#00ffff  |(0,255,255)     |(180,100,50)
52  |DarkRed          |#5f0000  |(95,0,0)        |(0,100,18)
53  |DeepPink4        |#5f005f  |(95,0,95)       |(300,100,18)
54  |Purple4          |#5f0087  |(95,0,135)      |(82,100,26)
55  |Purple4          |#5f00af  |(95,0,175)      |(72,100,34)
56  |Purple3          |#5f00d7  |(95,0,215)      |(66,100,42)
57  |BlueViolet       |#5f00ff  |(95,0,255)      |(62,100,50)
58  |Orange4          |#5f5f00  |(95,95,0)       |(60,100,18)
59  |Grey37           |#5f5f5f  |(95,95,95)      |(0,0,37)
60  |MediumPurple4    |#5f5f87  |(95,95,135)     |(240,17,45)
61  |SlateBlue3       |#5f5faf  |(95,95,175)     |(240,33,52)
62  |SlateBlue3       |#5f5fd7  |(95,95,215)     |(240,60,60)
63  |RoyalBlue1       |#5f5fff  |(95,95,255)     |(240,100,68)
64  |Chartreuse4      |#5f8700  |(95,135,0)      |(7,100,26)
65  |DarkSeaGreen4    |#5f875f  |(95,135,95)     |(120,17,45)
66  |PaleTurquoise4   |#5f8787  |(95,135,135)    |(180,17,45)
67  |SteelBlue        |#5f87af  |(95,135,175)    |(210,33,52)
68  |SteelBlue3       |#5f87d7  |(95,135,215)    |(220,60,60)
69  |CornflowerBlue   |#5f87ff  |(95,135,255)    |(225,100,68)
70  |Chartreuse3      |#5faf00  |(95,175,0)      |(7,100,34)
71  |DarkSeaGreen4    |#5faf5f  |(95,175,95)     |(120,33,52)
72  |CadetBlue        |#5faf87  |(95,175,135)    |(150,33,52)
73  |CadetBlue        |#5fafaf  |(95,175,175)    |(180,33,52)
74  |SkyBlue3         |#5fafd7  |(95,175,215)    |(200,60,60)
75  |SteelBlue1       |#5fafff  |(95,175,255)    |(210,100,68)
76  |Chartreuse3      |#5fd700  |(95,215,0)      |(3,100,42)
77  |PaleGreen3       |#5fd75f  |(95,215,95)     |(120,60,60)
78  |SeaGreen3        |#5fd787  |(95,215,135)    |(140,60,60)
79  |Aquamarine3      |#5fd7af  |(95,215,175)    |(160,60,60)
80  |MediumTurquoise  |#5fd7d7  |(95,215,215)    |(180,60,60)
81  |SteelBlue1       |#5fd7ff  |(95,215,255)    |(195,100,68)
82  |Chartreuse2      |#5fff00  |(95,255,0)      |(7,100,50)
83  |SeaGreen2        |#5fff5f  |(95,255,95)     |(120,100,68)
84  |SeaGreen1        |#5fff87  |(95,255,135)    |(135,100,68)
85  |SeaGreen1        |#5fffaf  |(95,255,175)    |(150,100,68)
86  |Aquamarine1      |#5fffd7  |(95,255,215)    |(165,100,68)
87  |DarkSlateGray2   |#5fffff  |(95,255,255)    |(180,100,68)
88  |DarkRed          |#870000  |(135,0,0)       |(0,100,26)
89  |DeepPink4        |#87005f  |(135,0,95)      |(17,100,26)
90  |DarkMagenta      |#870087  |(135,0,135)     |(300,100,26)
91  |DarkMagenta      |#8700af  |(135,0,175)     |(86,100,34)
92  |DarkViolet       |#8700d7  |(135,0,215)     |(77,100,42)
93  |Purple           |#8700ff  |(135,0,255)     |(71,100,50)
